 written on  7Apr2026 at 10:55:14 
   2.4600000000000000        0.0000000000000000        0.0000000000000000     
  -1.2300000000000000        2.1304224933000002        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        20.000000000000000     
           8
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1

   -5   -3    0
    1    1    0.20784559E-02  0.29910310E-11
    2    1   -0.34528858E-10 -0.62111936E-11
    3    1   -0.26863144E-02 -0.23621358E-10
    4    1   -0.34034905E-02 -0.70498225E-11
    5    1    0.13547093E-02 -0.75477402E-11
    6    1    0.14708333E-09 -0.11940264E-11
    7    1    0.28978519E-02 -0.32695079E-11
    8    1   -0.35365979E-03  0.10762679E-10
    1    2   -0.34126193E-10  0.21202561E-12
    2    2    0.51490755E-04  0.19802597E-11
    3    2    0.27714227E-10  0.31898356E-11
    4    2    0.18512387E-10  0.16233963E-11
    5    2   -0.36265636E-10 -0.21309858E-11
    6    2    0.11322692E-03  0.40217829E-12
    7    2   -0.56114891E-10  0.98952155E-11
    8    2   -0.54129916E-10 -0.27632189E-11
    1    3   -0.17937566E-02  0.32516915E-11
    2    3    0.42136498E-10 -0.18521242E-10
    3    3    0.15761327E-02  0.16772911E-10
    4    3    0.18206306E-02  0.18743470E-10
    5    3   -0.28978516E-02 -0.14850473E-11
    6    3   -0.30910690E-09 -0.23985383E-10
    7    3   -0.15785381E-03 -0.75119034E-12
    8    3    0.81564683E-03  0.15257323E-10
    1    4    0.96483043E-04  0.38374234E-11
    2    4   -0.35601389E-10 -0.56242904E-11
    3    4    0.11313893E-02 -0.10129973E-10
    4    4   -0.29421953E-02 -0.52310933E-12
    5    4    0.35365945E-03  0.18667290E-11
    6    4   -0.25641636E-09 -0.22104816E-11
    7    4    0.81564675E-03 -0.42347653E-11
    8    4   -0.36951673E-02 -0.73158909E-11
    1    5   -0.52018142E-03 -0.35445761E-11
    2    5   -0.26362724E-10 -0.11564108E-11
    3    5   -0.46329391E-03  0.18631992E-10
    4    5   -0.19713586E-02  0.20745211E-11
    5    5    0.20784548E-02  0.86508960E-11
    6    5    0.23838905E-09  0.12234019E-11
    7    5    0.17937568E-02  0.99776099E-11
    8    5   -0.96483331E-04 -0.67365419E-11
    1    6   -0.13642882E-11 -0.10131798E-10
    2    6    0.12436759E-03  0.77136214E-12
    3    6    0.10170971E-09  0.25386086E-10
    4    6   -0.42111470E-09 -0.14389755E-10
    5    6    0.59903165E-09 -0.78515405E-11
    6    6    0.51490751E-04 -0.19607406E-11
    7    6    0.41328783E-09  0.24628763E-10
    8    6   -0.32258312E-09 -0.25815803E-11
    1    7    0.46329381E-03  0.43571830E-11
    2    7    0.14607266E-10 -0.34626988E-11
    3    7    0.40793664E-03 -0.23869379E-11
    4    7    0.14688081E-02  0.34502054E-11
    5    7    0.26863147E-02  0.53737657E-12
    6    7    0.44505719E-09  0.20240428E-12
    7    7    0.15761338E-02 -0.94048415E-11
    8    7    0.11313890E-02  0.20312461E-10
    1    8    0.19713581E-02  0.47869486E-11
    2    8   -0.72657402E-10  0.19108707E-10
    3    8    0.14688088E-02  0.96068986E-11
    4    8   -0.14633758E-02 -0.26327274E-11
    5    8    0.34034900E-02  0.56698014E-11
    6    8    0.22600929E-09  0.18826056E-10
    7    8    0.18206311E-02 -0.12828526E-10
    8    8   -0.29421954E-02 -0.20726872E-10

   -5   -2    0
    1    1   -0.22365704E-02  0.11057454E-10
    2    1    0.23705379E-10 -0.18284702E-12
    3    1    0.71300364E-03  0.14566535E-10
    4    1    0.49413951E-03  0.16209173E-10
    5    1    0.37935621E-04  0.74343864E-11
    6    1    0.44386374E-10 -0.50908240E-11
    7    1   -0.16449447E-07 -0.28110036E-11
    8    1    0.71910067E-03 -0.97483618E-11
    1    2    0.30838060E-10 -0.10553131E-11
    2    2    0.51489255E-04  0.11723001E-11
    3    2   -0.25572065E-11 -0.15417330E-10
    4    2    0.51245145E-10  0.10232563E-11
    5    2   -0.90069638E-11 -0.64247748E-11
    6    2    0.14497443E-03  0.32231856E-11
    7    2   -0.10169931E-10 -0.38428177E-11
    8    2    0.32411772E-10  0.93748598E-11
    1    3    0.24682071E-02 -0.89795612E-11
    2    3   -0.35020869E-10  0.46249684E-11
    3    3   -0.15916312E-02  0.49047225E-11
    4    3   -0.78611072E-03 -0.20069116E-11
    5    3    0.16552693E-07 -0.37576786E-11
    6    3    0.11487581E-10  0.52276579E-11
    7    3    0.21363827E-04  0.39511172E-11
    8    3    0.67395632E-09  0.69018853E-11
    1    4   -0.17171775E-02  0.21972424E-11
    2    4    0.64968983E-10 -0.11652782E-11
    3    4    0.22318304E-02  0.31831885E-11
    4    4    0.45406061E-02  0.89493621E-11
    5    4   -0.71910071E-03  0.67945441E-11
    6    4    0.14536043E-09 -0.11107664E-10
