G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
H                             101         1.9037071382      0.5000000000     -0.5000000000     -0.5000000000
P                             188         3.5523658812      0.7500000000      0.2500000000     -0.2500000000
N                             238         4.5042194503      0.5000000000      0.0000000000     -0.5000000000
G                             309         5.8503436771      0.0000000000      0.0000000000      0.0000000000
H                             409         7.7540508152      0.5000000000      0.5000000000      0.5000000000
N                             480         9.1001750420      0.5000000000      0.0000000000      0.0000000000
G                             551        10.4462992688      0.0000000000      0.0000000000      0.0000000000
P                             638        12.0949580118      0.7500000000      0.2500000000     -0.2500000000
N                             688        13.0468115809      0.5000000000      0.0000000000      0.0000000000
