 written on 21Apr2026 at 00:37:40 
  -2.7155000985058271        0.0000000000000000        2.7155000985058271     
   0.0000000000000000        2.7155000985058271        2.7155000985058271     
  -2.7155000985058271        2.7155000985058271        0.0000000000000000     
           8
         617
    4    3    2    2    2    1    2    2    1    1    2    3    2    2    2
    3    6    2    2    2    1    2    2    1    1    2    2    1    1    1
    2    2    1    1    1    1    2    2    1    1    1    1    1    2    2
    1    1    1    1    1    1    2    6    2    2    2    2    2    2    2
    6    2    2    3    1    1    1    3    2    1    1    1    1    2    2
    1    1    1    1    1    2    2    1    1    1    1    1    1    2    3
    1    1    1    1    1    1    1    3    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    2    3    2    2    2    3    2    1    2    2    1    1    1
    1    2    4    1    1    1    1    1    1    1    4    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    2    1    1    1    1    1    2
    2    1    1    2    4    3    2    1    1    2    2    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    2    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    3
    1    1    1    1    1    1    1    3    2    1    1    1    1    2    2
    1    2    2    2    2    1    1    1    2    2    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    2    2    1    1    1    2    2    2
    2    1    2    2    1    1    1    1    2    3    1    1    1    1    1
    1    1    3    1    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1
    2    1    1    1    1    1    2    2    1    1    2    3    4    2    1
    1    2    2    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    4    1    1    1    1    1    1    1    4
    2    1    1    1    1    2    2    1    2    3    2    2    2    3    2
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    2    1    1    1    1    1    1    1    1    3    1    1    1    1    1
    1    1    3    2    1    1    1    1    1    1    2    2    1    1    1
    1    1    2    2    1    1    1    1    2    3    1    1    1    3    2
    2    6    2    2    2    2    2    2    2    6    2    1    1    1    1
    1    1    2    2    1    1    1    1    1    2    2    1    1    1    1
    2    2    1    1    1    2    2    1    1    2    2    1    2    2    2
    6    3    2    2    2    3    2    1    1    2    2    1    2    2    2
    3    4

   -6    2    2
    1    1    0.15047086E-03 -0.20079911E-05 
    2    1   -0.12044172E-03 -0.69155348E-07 
    3    1   -0.12819819E-03 -0.19585126E-04 
    4    1   -0.14495440E-03  0.15350617E-04 
    5    1    0.12721286E-03 -0.33910827E-06 
    6    1    0.92794194E-04  0.92420833E-05 
    7    1   -0.31094708E-04  0.12518722E-04 
    8    1   -0.15342030E-04 -0.21294052E-04 
    1    2   -0.12937915E-03  0.12230640E-05 
    2    2    0.18508600E-03 -0.34307379E-06 
    3    2   -0.15241759E-03  0.18797257E-04 
    4    2   -0.14038927E-03 -0.24275029E-04 
    5    2   -0.32807074E-03 -0.15686177E-04 
    6    2    0.41565060E-03 -0.28983852E-05 
    7    2   -0.29161120E-03  0.22839114E-04 
    8    2   -0.32222677E-03 -0.30293269E-05 
    1    3   -0.12555770E-03  0.17639902E-04 
    2    3   -0.15532272E-03 -0.15214905E-04 
    3    3    0.14960186E-03  0.14586987E-05 
    4    3   -0.12249786E-03 -0.27538817E-05 
    5    3   -0.15810837E-04 -0.29081513E-05 
    6    3    0.72943487E-04 -0.22615340E-04 
    7    3    0.12664700E-03 -0.55285945E-05 
    8    3   -0.17863462E-04  0.31031621E-04 
    1    4   -0.14402680E-03 -0.12814820E-04 
    2    4   -0.14263891E-03  0.21068590E-04 
    3    4   -0.12307228E-03  0.49908983E-05 
    4    4    0.16281621E-03 -0.33707388E-05 
    5    4   -0.16276202E-04  0.12040241E-04 
    6    4    0.79243579E-04  0.18100173E-04 
    7    4   -0.25779472E-04 -0.32176034E-04 
    8    4    0.12114848E-03  0.15382644E-05 
    1    5   -0.16805482E-03 -0.84697934E-05 
    2    5   -0.38100709E-03  0.19717645E-04 
    3    5    0.13152900E-03 -0.12018262E-05 
    4    5    0.13969633E-03 -0.62419836E-05 
    5    5    0.14930197E-03  0.15823152E-05 
    6    5   -0.13569063E-03  0.13141324E-04 
    7    5   -0.12652384E-03 -0.11285432E-04 
    8    5   -0.11711577E-03  0.53574139E-05 
    1    6    0.13913572E-03 -0.48584296E-05 
    2    6    0.30664661E-03 -0.31524263E-05 
    3    6    0.12392899E-03  0.22018969E-04 
    4    6    0.12218362E-03 -0.18069694E-04 
    5    6   -0.13585754E-03 -0.80486587E-05 
    6    6    0.15054341E-03 -0.28428164E-05 
    7    6   -0.10924783E-03  0.16069620E-04 
    8    6   -0.12976824E-03 -0.33420618E-05 
    1    7    0.11993565E-03 -0.10060815E-04 
    2    7   -0.34846588E-03 -0.17241979E-04 
    3    7   -0.16798998E-03  0.63823187E-05 
    4    7    0.12730748E-03  0.21957443E-04 
    5    7   -0.12928094E-03  0.91630897E-05 
    6    7   -0.11131269E-03 -0.11437709E-04 
    7    7    0.15793247E-03 -0.34101642E-05 
